system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H2,yoshida4,6,0.2,0.999,True,27,0,0.02,0.039548256806109475,3.999869600544611,0.001002100844227969,0.4223033038820847
H2,yoshida4,6,0.3,0.995,True,28,0,0.02,0.039548256806109475,3.999869600544611,0.001002100844227969,0.4223033038820847
H2,yoshida4,6,0.3,0.999,True,28,0,0.02,0.039548256806109475,3.999869600544611,0.001002100844227969,0.4223033038820847
H2,current_m3,4,0.1,0.995,True,30,1,0.02292183941538839,0.034507053373351075,4.0031982095564205,2.7360299266591992e-06,1.8474475835818405
H2,current_m3,4,0.1,0.999,True,30,1,0.02292183941538839,0.034507053373351075,4.0031982095564205,2.7360299266591992e-06,1.8474475835818405
H2,current_m3,4,0.2,0.995,True,30,1,0.02292183941538839,0.034507053373351075,4.0031982095564205,2.7360299266591992e-06,1.8474475835818405
H2,current_m3,4,0.2,0.999,True,30,1,0.02292183941538839,0.034507053373351075,4.0031982095564205,2.7360299266591992e-06,1.8474475835818405
H2,current_m3,4,0.3,0.995,True,30,1,0.02292183941538839,0.034507053373351075,4.0031982095564205,2.7360299266591992e-06,1.8474475835818405
H2,current_m3,4,0.3,0.999,True,30,1,0.02292183941538839,0.034507053373351075,4.0031982095564205,2.7360299266591992e-06,1.8474475835818405
H2,current_m3,5,0.1,0.995,True,29,1,0.02292183941538839,0.039548256806109475,4.0021907453808465,2.736250664371569e-06,1.847410323317644
H2,current_m3,5,0.1,0.999,True,29,1,0.02292183941538839,0.039548256806109475,4.0021907453808465,2.736250664371569e-06,1.847410323317644
H2,current_m3,5,0.2,0.995,True,29,1,0.02292183941538839,0.039548256806109475,4.0021907453808465,2.736250664371569e-06,1.847410323317644
H2,current_m3,5,0.2,0.999,True,29,1,0.02292183941538839,0.039548256806109475,4.0021907453808465,2.736250664371569e-06,1.847410323317644
H2,current_m3,5,0.3,0.995,True,29,1,0.02292183941538839,0.039548256806109475,4.0021907453808465,2.736250664371569e-06,1.847410323317644
H2,current_m3,5,0.3,0.999,True,29,1,0.02292183941538839,0.039548256806109475,4.0021907453808465,2.736250664371569e-06,1.847410323317644
H2,current_m3,6,0.1,0.995,True,28,1,0.02292183941538839,0.0453259395834091,4.00178419178351,2.7364823975110344e-06,1.8473712110808784
H2,current_m3,6,0.1,0.999,True,28,1,0.02292183941538839,0.0453259395834091,4.00178419178351,2.7364823975110344e-06,1.8473712110808784
H2,current_m3,6,0.2,0.995,True,28,1,0.02292183941538839,0.0453259395834091,4.00178419178351,2.7364823975110344e-06,1.8473712110808784
H2,current_m3,6,0.2,0.999,True,28,1,0.02292183941538839,0.0453259395834091,4.00178419178351,2.7364823975110344e-06,1.8473712110808784
H2,current_m3,6,0.3,0.995,True,28,1,0.02292183941538839,0.0453259395834091,4.00178419178351,2.7364823975110344e-06,1.8473712110808784
H2,current_m3,6,0.3,0.999,True,28,1,0.02292183941538839,0.0453259395834091,4.00178419178351,2.7364823975110344e-06,1.8473712110808784
H2,two_term_center,4,0.1,0.995,True,31,0,0.02,0.030108450502611094,4.010074087667637,4.644010157102545e-06,1.6185609040412947
